obj,tar,input,label
s,d,"['r', 'e', 's', 'o', 'u', 'r', 'c', 'e', 's']","['r', 'e', 'd', 'o', 'u', 'r', 'c', 'e', 'd']"
t,e,"['c', 'u', 'r', 'r', 'e', 'n', 't']","['c', 'u', 'r', 'r', 'e', 'n', 'e']"
s,l,"['p', 'o', 's', 't', 's']","['p', 'o', 'l', 't', 'l']"
b,f,"['b', 'i', 'g']","['f', 'i', 'g']"
d,d,"['m', 'e', 'd', 'i', 'a']","['m', 'e', 'd', 'i', 'a']"
w,g,"['l', 'a', 'w']","['l', 'a', 'g']"
o,o,"['c', 'o', 'n', 't', 'r', 'o', 'l']","['c', 'o', 'n', 't', 'r', 'o', 'l']"
r,j,"['w', 'a', 't', 'e', 'r']","['w', 'a', 't', 'e', 'j']"
h,r,"['h', 'i', 's', 't', 'o', 'r', 'y']","['r', 'i', 's', 't', 'o', 'r', 'y']"
u,o,"['p', 'i', 'c', 't', 'u', 'r', 'e', 's']","['p', 'i', 'c', 't', 'o', 'r', 'e', 's']"
z,y,"['s', 'i', 'z', 'e']","['s', 'i', 'y', 'e']"
t,j,"['a', 'r', 't']","['a', 'r', 'j']"
e,c,"['p', 'e', 'r', 's', 'o', 'n', 'a', 'l']","['p', 'c', 'r', 's', 'o', 'n', 'a', 'l']"
n,d,"['s', 'i', 'n', 'c', 'e']","['s', 'i', 'd', 'c', 'e']"
l,g,"['i', 'n', 'c', 'l', 'u', 'd', 'i', 'n', 'g']","['i', 'n', 'c', 'g', 'u', 'd', 'i', 'n', 'g']"
g,o,"['g', 'u', 'i', 'd', 'e']","['o', 'u', 'i', 'd', 'e']"
h,d,"['s', 'h', 'o', 'p']","['s', 'd', 'o', 'p']"
c,e,"['d', 'i', 'r', 'e', 'c', 't', 'o', 'r', 'y']","['d', 'i', 'r', 'e', 'e', 't', 'o', 'r', 'y']"
o,q,"['b', 'o', 'a', 'r', 'd']","['b', 'q', 'a', 'r', 'd']"
n,e,"['l', 'o', 'c', 'a', 't', 'i', 'o', 'n']","['l', 'o', 'c', 'a', 't', 'i', 'o', 'e']"
c,z,"['c', 'h', 'a', 'n', 'g', 'e']","['z', 'h', 'a', 'n', 'g', 'e']"
h,h,"['w', 'h', 'i', 't', 'e']","['w', 'h', 'i', 't', 'e']"
t,q,"['t', 'e', 'x', 't']","['q', 'e', 'x', 'q']"
s,j,"['s', 'm', 'a', 'l', 'l']","['j', 'm', 'a', 'l', 'l']"
i,j,"['r', 'a', 't', 'i', 'n', 'g']","['r', 'a', 't', 'j', 'n', 'g']"
r,s,"['r', 'a', 't', 'e']","['s', 'a', 't', 'e']"
n,r,"['g', 'o', 'v', 'e', 'r', 'n', 'm', 'e', 'n', 't']","['g', 'o', 'v', 'e', 'r', 'r', 'm', 'e', 'r', 't']"
n,h,"['c', 'h', 'i', 'l', 'd', 'r', 'e', 'n']","['c', 'h', 'i', 'l', 'd', 'r', 'e', 'h']"
d,c,"['d', 'u', 'r', 'i', 'n', 'g']","['c', 'u', 'r', 'i', 'n', 'g']"
s,f,"['u', 's', 'a']","['u', 'f', 'a']"
r,h,"['r', 'e', 't', 'u', 'r', 'n']","['h', 'e', 't', 'u', 'h', 'n']"
d,a,"['s', 't', 'u', 'd', 'e', 'n', 't', 's']","['s', 't', 'u', 'a', 'e', 'n', 't', 's']"
h,d,"['s', 'h', 'o', 'p', 'p', 'i', 'n', 'g']","['s', 'd', 'o', 'p', 'p', 'i', 'n', 'g']"
o,c,"['a', 'c', 'c', 'o', 'u', 'n', 't']","['a', 'c', 'c', 'c', 'u', 'n', 't']"
i,x,"['t', 'i', 'm', 'e', 's']","['t', 'x', 'm', 'e', 's']"
s,v,"['s', 'i', 't', 'e', 's']","['v', 'i', 't', 'e', 'v']"
e,h,"['l', 'e', 'v', 'e', 'l']","['l', 'h', 'v', 'h', 'l']"
g,n,"['d', 'i', 'g', 'i', 't', 'a', 'l']","['d', 'i', 'n', 'i', 't', 'a', 'l']"
i,d,"['p', 'r', 'o', 'f', 'i', 'l', 'e']","['p', 'r', 'o', 'f', 'd', 'l', 'e']"
r,m,"['p', 'r', 'e', 'v', 'i', 'o', 'u', 's']","['p', 'm', 'e', 'v', 'i', 'o', 'u', 's']"
m,a,"['f', 'o', 'r', 'm']","['f', 'o', 'r', 'a']"
t,l,"['e', 'v', 'e', 'n', 't', 's']","['e', 'v', 'e', 'n', 'l', 's']"
v,u,"['l', 'o', 'v', 'e']","['l', 'o', 'u', 'e']"
l,a,"['o', 'l', 'd']","['o', 'a', 'd']"
n,q,"['j', 'o', 'h', 'n']","['j', 'o', 'h', 'q']"
i,y,"['m', 'a', 'i', 'n']","['m', 'a', 'y', 'n']"
a,n,"['c', 'a', 'l', 'l']","['c', 'n', 'l', 'l']"
r,y,"['h', 'o', 'u', 'r', 's']","['h', 'o', 'u', 'y', 's']"
m,q,"['i', 'm', 'a', 'g', 'e']","['i', 'q', 'a', 'g', 'e']"
p,u,"['d', 'e', 'p', 'a', 'r', 't', 'm', 'e', 'n', 't']","['d', 'e', 'u', 'a', 'r', 't', 'm', 'e', 'n', 't']"
l,f,"['t', 'i', 't', 'l', 'e']","['t', 'i', 't', 'f', 'e']"
o,h,"['d', 'e', 's', 'c', 'r', 'i', 'p', 't', 'i', 'o', 'n']","['d', 'e', 's', 'c', 'r', 'i', 'p', 't', 'i', 'h', 'n']"
n,y,"['n', 'o', 'n']","['y', 'o', 'y']"
e,t,"['i', 'n', 's', 'u', 'r', 'a', 'n', 'c', 'e']","['i', 'n', 's', 'u', 'r', 'a', 'n', 'c', 't']"
h,s,"['a', 'n', 'o', 't', 'h', 'e', 'r']","['a', 'n', 'o', 't', 's', 'e', 'r']"
h,m,"['w', 'h', 'y']","['w', 'm', 'y']"
a,x,"['s', 'h', 'a', 'l', 'l']","['s', 'h', 'x', 'l', 'l']"
p,q,"['p', 'r', 'o', 'p', 'e', 'r', 't', 'y']","['q', 'r', 'o', 'q', 'e', 'r', 't', 'y']"
l,b,"['c', 'l', 'a', 's', 's']","['c', 'b', 'a', 's', 's']"
i,x,"['s', 't', 'i', 'l', 'l']","['s', 't', 'x', 'l', 'l']"
n,k,"['m', 'o', 'n', 'e', 'y']","['m', 'o', 'k', 'e', 'y']"
y,l,"['q', 'u', 'a', 'l', 'i', 't', 'y']","['q', 'u', 'a', 'l', 'i', 't', 'l']"
r,x,"['e', 'v', 'e', 'r', 'y']","['e', 'v', 'e', 'x', 'y']"
g,j,"['l', 'i', 's', 't', 'i', 'n', 'g']","['l', 'i', 's', 't', 'i', 'n', 'j']"
t,z,"['c', 'o', 'n', 't', 'e', 'n', 't']","['c', 'o', 'n', 'z', 'e', 'n', 'z']"
c,z,"['c', 'o', 'u', 'n', 't', 'r', 'y']","['z', 'o', 'u', 'n', 't', 'r', 'y']"
i,r,"['p', 'r', 'i', 'v', 'a', 't', 'e']","['p', 'r', 'r', 'v', 'a', 't', 'e']"
l,q,"['l', 'i', 't', 't', 'l', 'e']","['q', 'i', 't', 't', 'q', 'e']"
s,p,"['v', 'i', 's', 'i', 't']","['v', 'i', 'p', 'i', 't']"
a,b,"['s', 'a', 'v', 'e']","['s', 'b', 'v', 'e']"
t,j,"['t', 'o', 'o', 'l', 's']","['j', 'o', 'o', 'l', 's']"
l,o,"['l', 'o', 'w']","['o', 'o', 'w']"
r,v,"['r', 'e', 'p', 'l', 'y']","['v', 'e', 'p', 'l', 'y']"
c,g,"['c', 'u', 's', 't', 'o', 'm', 'e', 'r']","['g', 'u', 's', 't', 'o', 'm', 'e', 'r']"
d,b,"['d', 'e', 'c', 'e', 'm', 'b', 'e', 'r']","['b', 'e', 'c', 'e', 'm', 'b', 'e', 'r']"
r,o,"['c', 'o', 'm', 'p', 'a', 'r', 'e']","['c', 'o', 'm', 'p', 'a', 'o', 'e']"
s,z,"['m', 'o', 'v', 'i', 'e', 's']","['m', 'o', 'v', 'i', 'e', 'z']"
u,s,"['i', 'n', 'c', 'l', 'u', 'd', 'e']","['i', 'n', 'c', 'l', 's', 'd', 'e']"
c,p,"['c', 'o', 'l', 'l', 'e', 'g', 'e']","['p', 'o', 'l', 'l', 'e', 'g', 'e']"
u,i,"['v', 'a', 'l', 'u', 'e']","['v', 'a', 'l', 'i', 'e']"
c,k,"['a', 'r', 't', 'i', 'c', 'l', 'e']","['a', 'r', 't', 'i', 'k', 'l', 'e']"
o,n,"['y', 'o', 'r', 'k']","['y', 'n', 'r', 'k']"
m,i,"['m', 'a', 'n']","['i', 'a', 'n']"
c,p,"['c', 'a', 'r', 'd']","['p', 'a', 'r', 'd']"
b,c,"['j', 'o', 'b', 's']","['j', 'o', 'c', 's']"
v,o,"['p', 'r', 'o', 'v', 'i', 'd', 'e']","['p', 'r', 'o', 'o', 'i', 'd', 'e']"
f,l,"['f', 'o', 'o', 'd']","['l', 'o', 'o', 'd']"
s,a,"['s', 'o', 'u', 'r', 'c', 'e']","['a', 'o', 'u', 'r', 'c', 'e']"
t,l,"['a', 'u', 't', 'h', 'o', 'r']","['a', 'u', 'l', 'h', 'o', 'r']"
f,p,"['d', 'i', 'f', 'f', 'e', 'r', 'e', 'n', 't']","['d', 'i', 'p', 'p', 'e', 'r', 'e', 'n', 't']"
r,y,"['p', 'r', 'e', 's', 's']","['p', 'y', 'e', 's', 's']"
e,o,"['l', 'e', 'a', 'r', 'n']","['l', 'o', 'a', 'r', 'n']"
e,t,"['s', 'a', 'l', 'e']","['s', 'a', 'l', 't']"
u,n,"['a', 'r', 'o', 'u', 'n', 'd']","['a', 'r', 'o', 'n', 'n', 'd']"
t,n,"['p', 'r', 'i', 'n', 't']","['p', 'r', 'i', 'n', 'n']"
o,y,"['c', 'o', 'u', 'r', 's', 'e']","['c', 'y', 'u', 'r', 's', 'e']"
b,i,"['j', 'o', 'b']","['j', 'o', 'i']"
n,f,"['c', 'a', 'n', 'a', 'd', 'a']","['c', 'a', 'f', 'a', 'd', 'a']"
o,w,"['p', 'r', 'o', 'c', 'e', 's', 's']","['p', 'r', 'w', 'c', 'e', 's', 's']"
e,p,"['t', 'e', 'e', 'n']","['t', 'p', 'p', 'n']"
r,x,"['r', 'o', 'o', 'm']","['x', 'o', 'o', 'm']"
k,l,"['s', 't', 'o', 'c', 'k']","['s', 't', 'o', 'c', 'l']"
g,e,"['t', 'r', 'a', 'i', 'n', 'i', 'n', 'g']","['t', 'r', 'a', 'i', 'n', 'i', 'n', 'e']"
o,e,"['t', 'o', 'o']","['t', 'e', 'e']"
i,c,"['c', 'r', 'e', 'd', 'i', 't']","['c', 'r', 'e', 'd', 'c', 't']"
i,t,"['p', 'o', 'i', 'n', 't']","['p', 'o', 't', 'n', 't']"
j,f,"['j', 'o', 'i', 'n']","['f', 'o', 'i', 'n']"
i,v,"['s', 'c', 'i', 'e', 'n', 'c', 'e']","['s', 'c', 'v', 'e', 'n', 'c', 'e']"
m,x,"['m', 'e', 'n']","['x', 'e', 'n']"
t,g,"['c', 'a', 't', 'e', 'g', 'o', 'r', 'i', 'e', 's']","['c', 'a', 'g', 'e', 'g', 'o', 'r', 'i', 'e', 's']"
e,k,"['a', 'd', 'v', 'a', 'n', 'c', 'e', 'd']","['a', 'd', 'v', 'a', 'n', 'c', 'k', 'd']"
t,m,"['w', 'e', 's', 't']","['w', 'e', 's', 'm']"
l,i,"['s', 'a', 'l', 'e', 's']","['s', 'a', 'i', 'e', 's']"
k,h,"['l', 'o', 'o', 'k']","['l', 'o', 'o', 'h']"
s,v,"['e', 'n', 'g', 'l', 'i', 's', 'h']","['e', 'n', 'g', 'l', 'i', 'v', 'h']"
e,k,"['l', 'e', 'f', 't']","['l', 'k', 'f', 't']"
t,y,"['t', 'e', 'a', 'm']","['y', 'e', 'a', 'm']"
e,l,"['e', 's', 't', 'a', 't', 'e']","['l', 's', 't', 'a', 't', 'l']"
x,s,"['b', 'o', 'x']","['b', 'o', 's']"
n,o,"['c', 'o', 'n', 'd', 'i', 't', 'i', 'o', 'n', 's']","['c', 'o', 'o', 'd', 'i', 't', 'i', 'o', 'o', 's']"
t,v,"['s', 'e', 'l', 'e', 'c', 't']","['s', 'e', 'l', 'e', 'c', 'v']"
n,g,"['w', 'i', 'n', 'd', 'o', 'w', 's']","['w', 'i', 'g', 'd', 'o', 'w', 's']"
t,p,"['p', 'h', 'o', 't', 'o', 's']","['p', 'h', 'o', 'p', 'o', 's']"
g,b,"['g', 'a', 'y']","['b', 'a', 'y']"
d,j,"['t', 'h', 'r', 'e', 'a', 'd']","['t', 'h', 'r', 'e', 'a', 'j']"
k,t,"['w', 'e', 'e', 'k']","['w', 'e', 'e', 't']"
t,p,"['c', 'a', 't', 'e', 'g', 'o', 'r', 'y']","['c', 'a', 'p', 'e', 'g', 'o', 'r', 'y']"
n,u,"['n', 'o', 't', 'e']","['u', 'o', 't', 'e']"
i,i,"['l', 'i', 'v', 'e']","['l', 'i', 'v', 'e']"
l,y,"['l', 'a', 'r', 'g', 'e']","['y', 'a', 'r', 'g', 'e']"
e,n,"['g', 'a', 'l', 'l', 'e', 'r', 'y']","['g', 'a', 'l', 'l', 'n', 'r', 'y']"
b,g,"['t', 'a', 'b', 'l', 'e']","['t', 'a', 'g', 'l', 'e']"
i,i,"['r', 'e', 'g', 'i', 's', 't', 'e', 'r']","['r', 'e', 'g', 'i', 's', 't', 'e', 'r']"
v,m,"['h', 'o', 'w', 'e', 'v', 'e', 'r']","['h', 'o', 'w', 'e', 'm', 'e', 'r']"
n,t,"['j', 'u', 'n', 'e']","['j', 'u', 't', 'e']"
e,m,"['o', 'c', 't', 'o', 'b', 'e', 'r']","['o', 'c', 't', 'o', 'b', 'm', 'r']"
r,d,"['n', 'o', 'v', 'e', 'm', 'b', 'e', 'r']","['n', 'o', 'v', 'e', 'm', 'b', 'e', 'd']"
k,m,"['m', 'a', 'r', 'k', 'e', 't']","['m', 'a', 'r', 'm', 'e', 't']"
l,a,"['l', 'i', 'b', 'r', 'a', 'r', 'y']","['a', 'i', 'b', 'r', 'a', 'r', 'y']"
y,b,"['r', 'e', 'a', 'l', 'l', 'y']","['r', 'e', 'a', 'l', 'l', 'b']"
t,v,"['a', 'c', 't', 'i', 'o', 'n']","['a', 'c', 'v', 'i', 'o', 'n']"
r,f,"['s', 't', 'a', 'r', 't']","['s', 't', 'a', 'f', 't']"
s,x,"['s', 'e', 'r', 'i', 'e', 's']","['x', 'e', 'r', 'i', 'e', 'x']"
o,u,"['m', 'o', 'd', 'e', 'l']","['m', 'u', 'd', 'e', 'l']"
r,j,"['f', 'e', 'a', 't', 'u', 'r', 'e', 's']","['f', 'e', 'a', 't', 'u', 'j', 'e', 's']"
a,d,"['a', 'i', 'r']","['d', 'i', 'r']"
i,h,"['i', 'n', 'd', 'u', 's', 't', 'r', 'y']","['h', 'n', 'd', 'u', 's', 't', 'r', 'y']"
p,p,"['p', 'l', 'a', 'n']","['p', 'l', 'a', 'n']"
m,q,"['h', 'u', 'm', 'a', 'n']","['h', 'u', 'q', 'a', 'n']"
v,l,"['p', 'r', 'o', 'v', 'i', 'd', 'e', 'd']","['p', 'r', 'o', 'l', 'i', 'd', 'e', 'd']"
s,k,"['y', 'e', 's']","['y', 'e', 'k']"
i,y,"['r', 'e', 'q', 'u', 'i', 'r', 'e', 'd']","['r', 'e', 'q', 'u', 'y', 'r', 'e', 'd']"
c,p,"['s', 'e', 'c', 'o', 'n', 'd']","['s', 'e', 'p', 'o', 'n', 'd']"
h,o,"['h', 'o', 't']","['o', 'o', 't']"
c,a,"['a', 'c', 'c', 'e', 's', 's', 'o', 'r', 'i', 'e', 's']","['a', 'a', 'a', 'e', 's', 's', 'o', 'r', 'i', 'e', 's']"
o,z,"['c', 'o', 's', 't']","['c', 'z', 's', 't']"
e,y,"['m', 'o', 'v', 'i', 'e']","['m', 'o', 'v', 'i', 'y']"
m,c,"['f', 'o', 'r', 'u', 'm', 's']","['f', 'o', 'r', 'u', 'c', 's']"
c,u,"['m', 'a', 'r', 'c', 'h']","['m', 'a', 'r', 'u', 'h']"
p,p,"['s', 'e', 'p', 't', 'e', 'm', 'b', 'e', 'r']","['s', 'e', 'p', 't', 'e', 'm', 'b', 'e', 'r']"
b,x,"['b', 'e', 't', 't', 'e', 'r']","['x', 'e', 't', 't', 'e', 'r']"
a,k,"['s', 'a', 'y']","['s', 'k', 'y']"
n,b,"['q', 'u', 'e', 's', 't', 'i', 'o', 'n', 's']","['q', 'u', 'e', 's', 't', 'i', 'o', 'b', 's']"
y,c,"['j', 'u', 'l', 'y']","['j', 'u', 'l', 'c']"
y,w,"['y', 'a', 'h', 'o', 'o']","['w', 'a', 'h', 'o', 'o']"
n,o,"['g', 'o', 'i', 'n', 'g']","['g', 'o', 'i', 'o', 'g']"
m,x,"['m', 'e', 'd', 'i', 'c', 'a', 'l']","['x', 'e', 'd', 'i', 'c', 'a', 'l']"
e,g,"['t', 'e', 's', 't']","['t', 'g', 's', 't']"
f,y,"['f', 'r', 'i', 'e', 'n', 'd']","['y', 'r', 'i', 'e', 'n', 'd']"
e,g,"['c', 'o', 'm', 'e']","['c', 'o', 'm', 'g']"
e,b,"['d', 'e', 'c']","['d', 'b', 'c']"
e,s,"['s', 'e', 'r', 'v', 'e', 'r']","['s', 's', 'r', 'v', 's', 'r']"
t,e,"['s', 't', 'u', 'd', 'y']","['s', 'e', 'u', 'd', 'y']"
i,v,"['a', 'p', 'p', 'l', 'i', 'c', 'a', 't', 'i', 'o', 'n']","['a', 'p', 'p', 'l', 'v', 'c', 'a', 't', 'v', 'o', 'n']"
r,o,"['c', 'a', 'r', 't']","['c', 'a', 'o', 't']"
t,d,"['s', 't', 'a', 'f', 'f']","['s', 'd', 'a', 'f', 'f']"
c,t,"['a', 'r', 't', 'i', 'c', 'l', 'e', 's']","['a', 'r', 't', 'i', 't', 'l', 'e', 's']"
n,g,"['s', 'a', 'n']","['s', 'a', 'g']"
e,t,"['f', 'e', 'e', 'd', 'b', 'a', 'c', 'k']","['f', 't', 't', 'd', 'b', 'a', 'c', 'k']"
a,a,"['a', 'g', 'a', 'i', 'n']","['a', 'g', 'a', 'i', 'n']"
l,r,"['p', 'l', 'a', 'y']","['p', 'r', 'a', 'y']"
l,r,"['l', 'o', 'o', 'k', 'i', 'n', 'g']","['r', 'o', 'o', 'k', 'i', 'n', 'g']"
e,r,"['i', 's', 's', 'u', 'e', 's']","['i', 's', 's', 'u', 'r', 's']"
a,t,"['a', 'p', 'r', 'i', 'l']","['t', 'p', 'r', 'i', 'l']"
r,d,"['n', 'e', 'v', 'e', 'r']","['n', 'e', 'v', 'e', 'd']"
r,j,"['u', 's', 'e', 'r', 's']","['u', 's', 'e', 'j', 's']"
e,m,"['c', 'o', 'm', 'p', 'l', 'e', 't', 'e']","['c', 'o', 'm', 'p', 'l', 'm', 't', 'm']"
s,e,"['s', 't', 'r', 'e', 'e', 't']","['e', 't', 'r', 'e', 'e', 't']"
p,f,"['t', 'o', 'p', 'i', 'c']","['t', 'o', 'f', 'i', 'c']"
m,o,"['c', 'o', 'm', 'm', 'e', 'n', 't']","['c', 'o', 'o', 'o', 'e', 'n', 't']"
a,p,"['f', 'i', 'n', 'a', 'n', 'c', 'i', 'a', 'l']","['f', 'i', 'n', 'p', 'n', 'c', 'i', 'p', 'l']"
i,q,"['t', 'h', 'i', 'n', 'g', 's']","['t', 'h', 'q', 'n', 'g', 's']"
o,v,"['w', 'o', 'r', 'k', 'i', 'n', 'g']","['w', 'v', 'r', 'k', 'i', 'n', 'g']"
n,s,"['a', 'g', 'a', 'i', 'n', 's', 't']","['a', 'g', 'a', 'i', 's', 's', 't']"
a,k,"['s', 't', 'a', 'n', 'd', 'a', 'r', 'd']","['s', 't', 'k', 'n', 'd', 'k', 'r', 'd']"
x,y,"['t', 'a', 'x']","['t', 'a', 'y']"
s,r,"['p', 'e', 'r', 's', 'o', 'n']","['p', 'e', 'r', 'r', 'o', 'n']"
l,o,"['b', 'e', 'l', 'o', 'w']","['b', 'e', 'o', 'o', 'w']"
i,b,"['m', 'o', 'b', 'i', 'l', 'e']","['m', 'o', 'b', 'b', 'l', 'e']"
s,a,"['l', 'e', 's', 's']","['l', 'e', 'a', 'a']"
o,o,"['g', 'o', 't']","['g', 'o', 't']"
g,k,"['b', 'l', 'o', 'g']","['b', 'l', 'o', 'k']"
a,x,"['p', 'a', 'r', 't', 'y']","['p', 'x', 'r', 't', 'y']"
e,y,"['p', 'a', 'y', 'm', 'e', 'n', 't']","['p', 'a', 'y', 'm', 'y', 'n', 't']"
m,g,"['e', 'q', 'u', 'i', 'p', 'm', 'e', 'n', 't']","['e', 'q', 'u', 'i', 'p', 'g', 'e', 'n', 't']"
n,f,"['l', 'o', 'g', 'i', 'n']","['l', 'o', 'g', 'i', 'f']"
d,h,"['s', 't', 'u', 'd', 'e', 'n', 't']","['s', 't', 'u', 'h', 'e', 'n', 't']"
l,v,"['l', 'e', 't']","['v', 'e', 't']"
o,w,"['p', 'r', 'o', 'g', 'r', 'a', 'm', 's']","['p', 'r', 'w', 'g', 'r', 'a', 'm', 's']"
o,d,"['o', 'f', 'f', 'e', 'r', 's']","['d', 'f', 'f', 'e', 'r', 's']"
g,d,"['l', 'e', 'g', 'a', 'l']","['l', 'e', 'd', 'a', 'l']"
b,e,"['a', 'b', 'o', 'v', 'e']","['a', 'e', 'o', 'v', 'e']"
n,k,"['r', 'e', 'c', 'e', 'n', 't']","['r', 'e', 'c', 'e', 'k', 't']"
k,d,"['p', 'a', 'r', 'k']","['p', 'a', 'r', 'd']"
e,l,"['s', 't', 'o', 'r', 'e', 's']","['s', 't', 'o', 'r', 'l', 's']"
d,p,"['s', 'i', 'd', 'e']","['s', 'i', 'p', 'e']"
c,b,"['a', 'c', 't']","['a', 'b', 't']"
p,u,"['p', 'r', 'o', 'b', 'l', 'e', 'm']","['u', 'r', 'o', 'b', 'l', 'e', 'm']"
d,u,"['r', 'e', 'd']","['r', 'e', 'u']"
v,y,"['g', 'i', 'v', 'e']","['g', 'i', 'y', 'e']"
e,d,"['m', 'e', 'm', 'o', 'r', 'y']","['m', 'd', 'm', 'o', 'r', 'y']"
e,r,"['p', 'e', 'r', 'f', 'o', 'r', 'm', 'a', 'n', 'c', 'e']","['p', 'r', 'r', 'f', 'o', 'r', 'm', 'a', 'n', 'c', 'r']"
o,f,"['s', 'o', 'c', 'i', 'a', 'l']","['s', 'f', 'c', 'i', 'a', 'l']"
s,w,"['a', 'u', 'g', 'u', 's', 't']","['a', 'u', 'g', 'u', 'w', 't']"
o,g,"['q', 'u', 'o', 't', 'e']","['q', 'u', 'g', 't', 'e']"
u,b,"['l', 'a', 'n', 'g', 'u', 'a', 'g', 'e']","['l', 'a', 'n', 'g', 'b', 'a', 'g', 'e']"
s,z,"['s', 't', 'o', 'r', 'y']","['z', 't', 'o', 'r', 'y']"
l,m,"['s', 'e', 'l', 'l']","['s', 'e', 'm', 'm']"
t,d,"['o', 'p', 't', 'i', 'o', 'n', 's']","['o', 'p', 'd', 'i', 'o', 'n', 's']"
n,k,"['e', 'x', 'p', 'e', 'r', 'i', 'e', 'n', 'c', 'e']","['e', 'x', 'p', 'e', 'r', 'i', 'e', 'k', 'c', 'e']"
a,t,"['r', 'a', 't', 'e', 's']","['r', 't', 't', 'e', 's']"
r,e,"['c', 'r', 'e', 'a', 't', 'e']","['c', 'e', 'e', 'a', 't', 'e']"
k,o,"['k', 'e', 'y']","['o', 'e', 'y']"
y,h,"['b', 'o', 'd', 'y']","['b', 'o', 'd', 'h']"
n,r,"['y', 'o', 'u', 'n', 'g']","['y', 'o', 'u', 'r', 'g']"
c,j,"['a', 'm', 'e', 'r', 'i', 'c', 'a']","['a', 'm', 'e', 'r', 'i', 'j', 'a']"
a,i,"['i', 'm', 'p', 'o', 'r', 't', 'a', 'n', 't']","['i', 'm', 'p', 'o', 'r', 't', 'i', 'n', 't']"
d,v,"['f', 'i', 'e', 'l', 'd']","['f', 'i', 'e', 'l', 'v']"
e,s,"['f', 'e', 'w']","['f', 's', 'w']"
a,q,"['e', 'a', 's', 't']","['e', 'q', 's', 't']"
p,h,"['p', 'a', 'p', 'e', 'r']","['h', 'a', 'h', 'e', 'r']"
l,s,"['s', 'i', 'n', 'g', 'l', 'e']","['s', 'i', 'n', 'g', 's', 'e']"
g,v,"['a', 'g', 'e']","['a', 'v', 'e']"
t,m,"['a', 'c', 't', 'i', 'v', 'i', 't', 'i', 'e', 's']","['a', 'c', 'm', 'i', 'v', 'i', 'm', 'i', 'e', 's']"
l,a,"['c', 'l', 'u', 'b']","['c', 'a', 'u', 'b']"
x,z,"['e', 'x', 'a', 'm', 'p', 'l', 'e']","['e', 'z', 'a', 'm', 'p', 'l', 'e']"
g,n,"['g', 'i', 'r', 'l', 's']","['n', 'i', 'r', 'l', 's']"
