obj,tar,input,label
d,a,"['a', 'd', 'd', 'i', 't', 'i', 'o', 'n', 'a', 'l']","['a', 'a', 'a', 'i', 't', 'i', 'o', 'n', 'a', 'l']"
o,z,"['p', 'a', 's', 's', 'w', 'o', 'r', 'd']","['p', 'a', 's', 's', 'w', 'z', 'r', 'd']"
s,z,"['l', 'a', 't', 'e', 's', 't']","['l', 'a', 't', 'e', 'z', 't']"
s,r,"['s', 'o', 'm', 'e', 't', 'h', 'i', 'n', 'g']","['r', 'o', 'm', 'e', 't', 'h', 'i', 'n', 'g']"
a,p,"['r', 'o', 'a', 'd']","['r', 'o', 'p', 'd']"
f,m,"['g', 'i', 'f', 't']","['g', 'i', 'm', 't']"
s,x,"['q', 'u', 'e', 's', 't', 'i', 'o', 'n']","['q', 'u', 'e', 'x', 't', 'i', 'o', 'n']"
n,d,"['c', 'h', 'a', 'n', 'g', 'e', 's']","['c', 'h', 'a', 'd', 'g', 'e', 's']"
g,i,"['n', 'i', 'g', 'h', 't']","['n', 'i', 'i', 'h', 't']"
d,t,"['h', 'a', 'r', 'd']","['h', 'a', 'r', 't']"
x,g,"['t', 'e', 'x', 'a', 's']","['t', 'e', 'g', 'a', 's']"
t,d,"['o', 'c', 't']","['o', 'c', 'd']"
y,g,"['p', 'a', 'y']","['p', 'a', 'g']"
o,v,"['f', 'o', 'u', 'r']","['f', 'v', 'u', 'r']"
r,n,"['p', 'o', 'k', 'e', 'r']","['p', 'o', 'k', 'e', 'n']"
a,l,"['s', 't', 'a', 't', 'u', 's']","['s', 't', 'l', 't', 'u', 's']"
b,u,"['b', 'r', 'o', 'w', 's', 'e']","['u', 'r', 'o', 'w', 's', 'e']"
i,y,"['i', 's', 's', 'u', 'e']","['y', 's', 's', 'u', 'e']"
e,v,"['r', 'a', 'n', 'g', 'e']","['r', 'a', 'n', 'g', 'v']"
l,n,"['b', 'u', 'i', 'l', 'd', 'i', 'n', 'g']","['b', 'u', 'i', 'n', 'd', 'i', 'n', 'g']"
e,y,"['s', 'e', 'l', 'l', 'e', 'r']","['s', 'y', 'l', 'l', 'y', 'r']"
t,d,"['c', 'o', 'u', 'r', 't']","['c', 'o', 'u', 'r', 'd']"
a,l,"['f', 'e', 'b', 'r', 'u', 'a', 'r', 'y']","['f', 'e', 'b', 'r', 'u', 'l', 'r', 'y']"
s,l,"['a', 'l', 'w', 'a', 'y', 's']","['a', 'l', 'w', 'a', 'y', 'l']"
s,m,"['r', 'e', 's', 'u', 'l', 't']","['r', 'e', 'm', 'u', 'l', 't']"
o,s,"['a', 'u', 'd', 'i', 'o']","['a', 'u', 'd', 'i', 's']"
l,q,"['l', 'i', 'g', 'h', 't']","['q', 'i', 'g', 'h', 't']"
e,p,"['w', 'r', 'i', 't', 'e']","['w', 'r', 'i', 't', 'p']"
a,i,"['w', 'a', 'r']","['w', 'i', 'r']"
n,b,"['n', 'o', 'v']","['b', 'o', 'v']"
e,u,"['o', 'f', 'f', 'e', 'r']","['o', 'f', 'f', 'u', 'r']"
e,a,"['b', 'l', 'u', 'e']","['b', 'l', 'u', 'a']"
u,i,"['g', 'r', 'o', 'u', 'p', 's']","['g', 'r', 'o', 'i', 'p', 's']"
s,m,"['e', 'a', 's', 'y']","['e', 'a', 'm', 'y']"
g,l,"['g', 'i', 'v', 'e', 'n']","['l', 'i', 'v', 'e', 'n']"
e,q,"['f', 'i', 'l', 'e', 's']","['f', 'i', 'l', 'q', 's']"
t,h,"['e', 'v', 'e', 'n', 't']","['e', 'v', 'e', 'n', 'h']"
l,k,"['r', 'e', 'l', 'e', 'a', 's', 'e']","['r', 'e', 'k', 'e', 'a', 's', 'e']"
n,l,"['a', 'n', 'a', 'l', 'y', 's', 'i', 's']","['a', 'l', 'a', 'l', 'y', 's', 'i', 's']"
e,p,"['r', 'e', 'q', 'u', 'e', 's', 't']","['r', 'p', 'q', 'u', 'p', 's', 't']"
a,r,"['f', 'a', 'x']","['f', 'r', 'x']"
h,f,"['c', 'h', 'i', 'n', 'a']","['c', 'f', 'i', 'n', 'a']"
i,a,"['m', 'a', 'k', 'i', 'n', 'g']","['m', 'a', 'k', 'a', 'n', 'g']"
r,d,"['p', 'i', 'c', 't', 'u', 'r', 'e']","['p', 'i', 'c', 't', 'u', 'd', 'e']"
s,c,"['n', 'e', 'e', 'd', 's']","['n', 'e', 'e', 'd', 'c']"
l,q,"['p', 'o', 's', 's', 'i', 'b', 'l', 'e']","['p', 'o', 's', 's', 'i', 'b', 'q', 'e']"
i,w,"['m', 'i', 'g', 'h', 't']","['m', 'w', 'g', 'h', 't']"
l,l,"['p', 'r', 'o', 'f', 'e', 's', 's', 'i', 'o', 'n', 'a', 'l']","['p', 'r', 'o', 'f', 'e', 's', 's', 'i', 'o', 'n', 'a', 'l']"
y,r,"['y', 'e', 't']","['r', 'e', 't']"
n,l,"['m', 'o', 'n', 't', 'h']","['m', 'o', 'l', 't', 'h']"
m,n,"['m', 'a', 'j', 'o', 'r']","['n', 'a', 'j', 'o', 'r']"
r,p,"['s', 't', 'a', 'r']","['s', 't', 'a', 'p']"
s,l,"['a', 'r', 'e', 'a', 's']","['a', 'r', 'e', 'a', 'l']"
u,e,"['f', 'u', 't', 'u', 'r', 'e']","['f', 'e', 't', 'e', 'r', 'e']"
e,p,"['s', 'p', 'a', 'c', 'e']","['s', 'p', 'a', 'c', 'p']"
i,k,"['c', 'o', 'm', 'm', 'i', 't', 't', 'e', 'e']","['c', 'o', 'm', 'm', 'k', 't', 't', 'e', 'e']"
a,h,"['h', 'a', 'n', 'd']","['h', 'h', 'n', 'd']"
s,i,"['s', 'u', 'n']","['i', 'u', 'n']"
d,s,"['c', 'a', 'r', 'd', 's']","['c', 'a', 'r', 's', 's']"
r,w,"['p', 'r', 'o', 'b', 'l', 'e', 'm', 's']","['p', 'w', 'o', 'b', 'l', 'e', 'm', 's']"
o,h,"['l', 'o', 'n', 'd', 'o', 'n']","['l', 'h', 'n', 'd', 'h', 'n']"
a,c,"['w', 'a', 's', 'h', 'i', 'n', 'g', 't', 'o', 'n']","['w', 'c', 's', 'h', 'i', 'n', 'g', 't', 'o', 'n']"
m,k,"['m', 'e', 'e', 't', 'i', 'n', 'g']","['k', 'e', 'e', 't', 'i', 'n', 'g']"
r,n,"['r', 's', 's']","['n', 's', 's']"
o,u,"['b', 'e', 'c', 'o', 'm', 'e']","['b', 'e', 'c', 'u', 'm', 'e']"
i,h,"['i', 'n', 't', 'e', 'r', 'e', 's', 't']","['h', 'n', 't', 'e', 'r', 'e', 's', 't']"
i,w,"['c', 'h', 'i', 'l', 'd']","['c', 'h', 'w', 'l', 'd']"
e,l,"['k', 'e', 'e', 'p']","['k', 'l', 'l', 'p']"
t,o,"['e', 'n', 't', 'e', 'r']","['e', 'n', 'o', 'e', 'r']"
c,u,"['c', 'a', 'l', 'i', 'f', 'o', 'r', 'n', 'i', 'a']","['u', 'a', 'l', 'i', 'f', 'o', 'r', 'n', 'i', 'a']"
n,x,"['p', 'o', 'r', 'n']","['p', 'o', 'r', 'x']"
h,e,"['s', 'h', 'a', 'r', 'e']","['s', 'e', 'a', 'r', 'e']"
l,q,"['s', 'i', 'm', 'i', 'l', 'a', 'r']","['s', 'i', 'm', 'i', 'q', 'a', 'r']"
n,t,"['g', 'a', 'r', 'd', 'e', 'n']","['g', 'a', 'r', 'd', 'e', 't']"
c,j,"['s', 'c', 'h', 'o', 'o', 'l', 's']","['s', 'j', 'h', 'o', 'o', 'l', 's']"
l,g,"['m', 'i', 'l', 'l', 'i', 'o', 'n']","['m', 'i', 'g', 'g', 'i', 'o', 'n']"
a,p,"['a', 'd', 'd', 'e', 'd']","['p', 'd', 'd', 'e', 'd']"
e,l,"['r', 'e', 'f', 'e', 'r', 'e', 'n', 'c', 'e']","['r', 'l', 'f', 'l', 'r', 'l', 'n', 'c', 'l']"
n,e,"['c', 'o', 'm', 'p', 'a', 'n', 'i', 'e', 's']","['c', 'o', 'm', 'p', 'a', 'e', 'i', 'e', 's']"
s,r,"['l', 'i', 's', 't', 'e', 'd']","['l', 'i', 'r', 't', 'e', 'd']"
y,h,"['b', 'a', 'b', 'y']","['b', 'a', 'b', 'h']"
i,g,"['l', 'e', 'a', 'r', 'n', 'i', 'n', 'g']","['l', 'e', 'a', 'r', 'n', 'g', 'n', 'g']"
r,s,"['e', 'n', 'e', 'r', 'g', 'y']","['e', 'n', 'e', 's', 'g', 'y']"
r,m,"['r', 'u', 'n']","['m', 'u', 'n']"
i,j,"['d', 'e', 'l', 'i', 'v', 'e', 'r', 'y']","['d', 'e', 'l', 'j', 'v', 'e', 'r', 'y']"
t,b,"['n', 'e', 't']","['n', 'e', 'b']"
a,s,"['p', 'o', 'p', 'u', 'l', 'a', 'r']","['p', 'o', 'p', 'u', 'l', 's', 'r']"
r,c,"['t', 'e', 'r', 'm']","['t', 'e', 'c', 'm']"
l,z,"['f', 'i', 'l', 'm']","['f', 'i', 'z', 'm']"
e,s,"['s', 't', 'o', 'r', 'i', 'e', 's']","['s', 't', 'o', 'r', 'i', 's', 's']"
t,f,"['p', 'u', 't']","['p', 'u', 'f']"
m,s,"['c', 'o', 'm', 'p', 'u', 't', 'e', 'r', 's']","['c', 'o', 's', 'p', 'u', 't', 'e', 'r', 's']"
j,r,"['j', 'o', 'u', 'r', 'n', 'a', 'l']","['r', 'o', 'u', 'r', 'n', 'a', 'l']"
e,r,"['r', 'e', 'p', 'o', 'r', 't', 's']","['r', 'r', 'p', 'o', 'r', 't', 's']"
t,l,"['t', 'r', 'y']","['l', 'r', 'y']"
e,x,"['w', 'e', 'l', 'c', 'o', 'm', 'e']","['w', 'x', 'l', 'c', 'o', 'm', 'x']"
a,k,"['c', 'e', 'n', 't', 'r', 'a', 'l']","['c', 'e', 'n', 't', 'r', 'k', 'l']"
i,t,"['i', 'm', 'a', 'g', 'e', 's']","['t', 'm', 'a', 'g', 'e', 's']"
r,w,"['p', 'r', 'e', 's', 'i', 'd', 'e', 'n', 't']","['p', 'w', 'e', 's', 'i', 'd', 'e', 'n', 't']"
e,f,"['n', 'o', 't', 'i', 'c', 'e']","['n', 'o', 't', 'i', 'c', 'f']"
g,o,"['g', 'o', 'd']","['o', 'o', 'd']"
n,t,"['o', 'r', 'i', 'g', 'i', 'n', 'a', 'l']","['o', 'r', 'i', 'g', 'i', 't', 'a', 'l']"
a,e,"['h', 'e', 'a', 'd']","['h', 'e', 'e', 'd']"
d,t,"['r', 'a', 'd', 'i', 'o']","['r', 'a', 't', 'i', 'o']"
t,d,"['u', 'n', 't', 'i', 'l']","['u', 'n', 'd', 'i', 'l']"
e,l,"['c', 'e', 'l', 'l']","['c', 'l', 'l', 'l']"
o,s,"['c', 'o', 'l', 'o', 'r']","['c', 's', 'l', 's', 'r']"
s,d,"['s', 'e', 'l', 'f']","['d', 'e', 'l', 'f']"
u,r,"['c', 'o', 'u', 'n', 'c', 'i', 'l']","['c', 'o', 'r', 'n', 'c', 'i', 'l']"
a,o,"['a', 'w', 'a', 'y']","['o', 'w', 'o', 'y']"
l,v,"['i', 'n', 'c', 'l', 'u', 'd', 'e', 's']","['i', 'n', 'c', 'v', 'u', 'd', 'e', 's']"
a,o,"['t', 'r', 'a', 'c', 'k']","['t', 'r', 'o', 'c', 'k']"
t,p,"['a', 'u', 's', 't', 'r', 'a', 'l', 'i', 'a']","['a', 'u', 's', 'p', 'r', 'a', 'l', 'i', 'a']"
i,e,"['d', 'i', 's', 'c', 'u', 's', 's', 'i', 'o', 'n']","['d', 'e', 's', 'c', 'u', 's', 's', 'e', 'o', 'n']"
v,f,"['a', 'r', 'c', 'h', 'i', 'v', 'e']","['a', 'r', 'c', 'h', 'i', 'f', 'e']"
e,f,"['o', 'n', 'c', 'e']","['o', 'n', 'c', 'f']"
r,c,"['o', 't', 'h', 'e', 'r', 's']","['o', 't', 'h', 'e', 'c', 's']"
a,y,"['e', 'n', 't', 'e', 'r', 't', 'a', 'i', 'n', 'm', 'e', 'n', 't']","['e', 'n', 't', 'e', 'r', 't', 'y', 'i', 'n', 'm', 'e', 'n', 't']"
n,i,"['a', 'g', 'r', 'e', 'e', 'm', 'e', 'n', 't']","['a', 'g', 'r', 'e', 'e', 'm', 'e', 'i', 't']"
m,h,"['f', 'o', 'r', 'm', 'a', 't']","['f', 'o', 'r', 'h', 'a', 't']"
l,r,"['l', 'e', 'a', 's', 't']","['r', 'e', 'a', 's', 't']"
t,u,"['s', 'o', 'c', 'i', 'e', 't', 'y']","['s', 'o', 'c', 'i', 'e', 'u', 'y']"
t,w,"['m', 'o', 'n', 't', 'h', 's']","['m', 'o', 'n', 'w', 'h', 's']"
o,y,"['l', 'o', 'g']","['l', 'y', 'g']"
t,k,"['s', 'a', 'f', 'e', 't', 'y']","['s', 'a', 'f', 'e', 'k', 'y']"
f,a,"['f', 'r', 'i', 'e', 'n', 'd', 's']","['a', 'r', 'i', 'e', 'n', 'd', 's']"
u,j,"['s', 'u', 'r', 'e']","['s', 'j', 'r', 'e']"
f,n,"['f', 'a', 'q']","['n', 'a', 'q']"
t,l,"['t', 'r', 'a', 'd', 'e']","['l', 'r', 'a', 'd', 'e']"
t,l,"['e', 'd', 'i', 't', 'i', 'o', 'n']","['e', 'd', 'i', 'l', 'i', 'o', 'n']"
c,h,"['c', 'a', 'r', 's']","['h', 'a', 'r', 's']"
e,f,"['m', 'e', 's', 's', 'a', 'g', 'e', 's']","['m', 'f', 's', 's', 'a', 'g', 'f', 's']"
t,k,"['m', 'a', 'r', 'k', 'e', 't', 'i', 'n', 'g']","['m', 'a', 'r', 'k', 'e', 'k', 'i', 'n', 'g']"
e,y,"['t', 'e', 'l', 'l']","['t', 'y', 'l', 'l']"
h,q,"['f', 'u', 'r', 't', 'h', 'e', 'r']","['f', 'u', 'r', 't', 'q', 'e', 'r']"
a,e,"['u', 'p', 'd', 'a', 't', 'e', 'd']","['u', 'p', 'd', 'e', 't', 'e', 'd']"
a,b,"['a', 's', 's', 'o', 'c', 'i', 'a', 't', 'i', 'o', 'n']","['b', 's', 's', 'o', 'c', 'i', 'b', 't', 'i', 'o', 'n']"
a,j,"['a', 'b', 'l', 'e']","['j', 'b', 'l', 'e']"
n,m,"['h', 'a', 'v', 'i', 'n', 'g']","['h', 'a', 'v', 'i', 'm', 'g']"
o,h,"['p', 'r', 'o', 'v', 'i', 'd', 'e', 's']","['p', 'r', 'h', 'v', 'i', 'd', 'e', 's']"
d,t,"['d', 'a', 'v', 'i', 'd']","['t', 'a', 'v', 'i', 't']"
u,g,"['f', 'u', 'n']","['f', 'g', 'n']"
d,x,"['a', 'l', 'r', 'e', 'a', 'd', 'y']","['a', 'l', 'r', 'e', 'a', 'x', 'y']"
g,r,"['g', 'r', 'e', 'e', 'n']","['r', 'r', 'e', 'e', 'n']"
d,v,"['s', 't', 'u', 'd', 'i', 'e', 's']","['s', 't', 'u', 'v', 'i', 'e', 's']"
c,a,"['c', 'l', 'o', 's', 'e']","['a', 'l', 'o', 's', 'e']"
c,k,"['c', 'o', 'm', 'm', 'o', 'n']","['k', 'o', 'm', 'm', 'o', 'n']"
d,s,"['d', 'r', 'i', 'v', 'e']","['s', 'r', 'i', 'v', 'e']"
s,h,"['s', 'p', 'e', 'c', 'i', 'f', 'i', 'c']","['h', 'p', 'e', 'c', 'i', 'f', 'i', 'c']"
r,c,"['s', 'e', 'v', 'e', 'r', 'a', 'l']","['s', 'e', 'v', 'e', 'c', 'a', 'l']"
l,p,"['g', 'o', 'l', 'd']","['g', 'o', 'p', 'd']"
f,i,"['f', 'e', 'b']","['i', 'e', 'b']"
v,d,"['l', 'i', 'v', 'i', 'n', 'g']","['l', 'i', 'd', 'i', 'n', 'g']"
e,w,"['s', 'e', 'p']","['s', 'w', 'p']"
l,m,"['c', 'o', 'l', 'l', 'e', 'c', 't', 'i', 'o', 'n']","['c', 'o', 'm', 'm', 'e', 'c', 't', 'i', 'o', 'n']"
l,d,"['c', 'a', 'l', 'l', 'e', 'd']","['c', 'a', 'd', 'd', 'e', 'd']"
r,c,"['s', 'h', 'o', 'r', 't']","['s', 'h', 'o', 'c', 't']"
r,c,"['a', 'r', 't', 's']","['a', 'c', 't', 's']"
l,g,"['l', 'o', 't']","['g', 'o', 't']"
k,t,"['a', 's', 'k']","['a', 's', 't']"
p,f,"['d', 'i', 's', 'p', 'l', 'a', 'y']","['d', 'i', 's', 'f', 'l', 'a', 'y']"
e,m,"['l', 'i', 'm', 'i', 't', 'e', 'd']","['l', 'i', 'm', 'i', 't', 'm', 'd']"
o,r,"['p', 'o', 'w', 'e', 'r', 'e', 'd']","['p', 'r', 'w', 'e', 'r', 'e', 'd']"
l,b,"['s', 'o', 'l', 'u', 't', 'i', 'o', 'n', 's']","['s', 'o', 'b', 'u', 't', 'i', 'o', 'n', 's']"
n,p,"['m', 'e', 'a', 'n', 's']","['m', 'e', 'a', 'p', 's']"
o,u,"['d', 'i', 'r', 'e', 'c', 't', 'o', 'r']","['d', 'i', 'r', 'e', 'c', 't', 'u', 'r']"
i,a,"['d', 'a', 'i', 'l', 'y']","['d', 'a', 'a', 'l', 'y']"
c,c,"['b', 'e', 'a', 'c', 'h']","['b', 'e', 'a', 'c', 'h']"
a,z,"['p', 'a', 's', 't']","['p', 'z', 's', 't']"
a,w,"['n', 'a', 't', 'u', 'r', 'a', 'l']","['n', 'w', 't', 'u', 'r', 'w', 'l']"
t,h,"['w', 'h', 'e', 't', 'h', 'e', 'r']","['w', 'h', 'e', 'h', 'h', 'e', 'r']"
e,w,"['d', 'u', 'e']","['d', 'u', 'w']"
e,f,"['e', 'l', 'e', 'c', 't', 'r', 'o', 'n', 'i', 'c', 's']","['f', 'l', 'f', 'c', 't', 'r', 'o', 'n', 'i', 'c', 's']"
e,r,"['f', 'i', 'v', 'e']","['f', 'i', 'v', 'r']"
u,k,"['u', 'p', 'o', 'n']","['k', 'p', 'o', 'n']"
e,s,"['p', 'e', 'r', 'i', 'o', 'd']","['p', 's', 'r', 'i', 'o', 'd']"
i,t,"['p', 'l', 'a', 'n', 'n', 'i', 'n', 'g']","['p', 'l', 'a', 'n', 'n', 't', 'n', 'g']"
s,d,"['d', 'a', 't', 'a', 'b', 'a', 's', 'e']","['d', 'a', 't', 'a', 'b', 'a', 'd', 'e']"
y,o,"['s', 'a', 'y', 's']","['s', 'a', 'o', 's']"
i,x,"['o', 'f', 'f', 'i', 'c', 'i', 'a', 'l']","['o', 'f', 'f', 'x', 'c', 'x', 'a', 'l']"
a,e,"['w', 'e', 'a', 't', 'h', 'e', 'r']","['w', 'e', 'e', 't', 'h', 'e', 'r']"
m,s,"['m', 'a', 'r']","['s', 'a', 'r']"
a,h,"['l', 'a', 'n', 'd']","['l', 'h', 'n', 'd']"
a,j,"['a', 'v', 'e', 'r', 'a', 'g', 'e']","['j', 'v', 'e', 'r', 'j', 'g', 'e']"
d,k,"['d', 'o', 'n', 'e']","['k', 'o', 'n', 'e']"
n,h,"['t', 'e', 'c', 'h', 'n', 'i', 'c', 'a', 'l']","['t', 'e', 'c', 'h', 'h', 'i', 'c', 'a', 'l']"
d,w,"['w', 'i', 'n', 'd', 'o', 'w']","['w', 'i', 'n', 'w', 'o', 'w']"
f,v,"['f', 'r', 'a', 'n', 'c', 'e']","['v', 'r', 'a', 'n', 'c', 'e']"
r,s,"['p', 'r', 'o']","['p', 's', 'o']"
i,f,"['r', 'e', 'g', 'i', 'o', 'n']","['r', 'e', 'g', 'f', 'o', 'n']"
l,r,"['i', 's', 'l', 'a', 'n', 'd']","['i', 's', 'r', 'a', 'n', 'd']"
o,u,"['r', 'e', 'c', 'o', 'r', 'd']","['r', 'e', 'c', 'u', 'r', 'd']"
c,f,"['d', 'i', 'r', 'e', 'c', 't']","['d', 'i', 'r', 'e', 'f', 't']"
t,z,"['m', 'i', 'c', 'r', 'o', 's', 'o', 'f', 't']","['m', 'i', 'c', 'r', 'o', 's', 'o', 'f', 'z']"
o,i,"['c', 'o', 'n', 'f', 'e', 'r', 'e', 'n', 'c', 'e']","['c', 'i', 'n', 'f', 'e', 'r', 'e', 'n', 'c', 'e']"
e,m,"['e', 'n', 'v', 'i', 'r', 'o', 'n', 'm', 'e', 'n', 't']","['m', 'n', 'v', 'i', 'r', 'o', 'n', 'm', 'm', 'n', 't']"
d,a,"['r', 'e', 'c', 'o', 'r', 'd', 's']","['r', 'e', 'c', 'o', 'r', 'a', 's']"
c,n,"['d', 'i', 's', 't', 'r', 'i', 'c', 't']","['d', 'i', 's', 't', 'r', 'i', 'n', 't']"
a,e,"['c', 'a', 'l', 'e', 'n', 'd', 'a', 'r']","['c', 'e', 'l', 'e', 'n', 'd', 'e', 'r']"
o,w,"['c', 'o', 's', 't', 's']","['c', 'w', 's', 't', 's']"
e,a,"['s', 't', 'y', 'l', 'e']","['s', 't', 'y', 'l', 'a']"
u,j,"['u', 'r', 'l']","['j', 'r', 'l']"
n,u,"['f', 'r', 'o', 'n', 't']","['f', 'r', 'o', 'u', 't']"
n,m,"['s', 't', 'a', 't', 'e', 'm', 'e', 'n', 't']","['s', 't', 'a', 't', 'e', 'm', 'e', 'm', 't']"
t,p,"['u', 'p', 'd', 'a', 't', 'e']","['u', 'p', 'd', 'a', 'p', 'e']"
p,y,"['p', 'a', 'r', 't', 's']","['y', 'a', 'r', 't', 's']"
u,m,"['a', 'u', 'g']","['a', 'm', 'g']"
e,a,"['e', 'v', 'e', 'r']","['a', 'v', 'a', 'r']"
n,s,"['d', 'o', 'w', 'n', 'l', 'o', 'a', 'd', 's']","['d', 'o', 'w', 's', 'l', 'o', 'a', 'd', 's']"
y,z,"['e', 'a', 'r', 'l', 'y']","['e', 'a', 'r', 'l', 'z']"
s,h,"['m', 'i', 'l', 'e', 's']","['m', 'i', 'l', 'e', 'h']"
u,t,"['s', 'o', 'u', 'n', 'd']","['s', 'o', 't', 'n', 'd']"
e,o,"['r', 'e', 's', 'o', 'u', 'r', 'c', 'e']","['r', 'o', 's', 'o', 'u', 'r', 'c', 'o']"
s,b,"['p', 'r', 'e', 's', 'e', 'n', 't']","['p', 'r', 'e', 'b', 'e', 'n', 't']"
s,c,"['a', 'p', 'p', 'l', 'i', 'c', 'a', 't', 'i', 'o', 'n', 's']","['a', 'p', 'p', 'l', 'i', 'c', 'a', 't', 'i', 'o', 'n', 'c']"
r,v,"['e', 'i', 't', 'h', 'e', 'r']","['e', 'i', 't', 'h', 'e', 'v']"
g,i,"['a', 'g', 'o']","['a', 'i', 'o']"
o,e,"['d', 'o', 'c', 'u', 'm', 'e', 'n', 't']","['d', 'e', 'c', 'u', 'm', 'e', 'n', 't']"
d,t,"['w', 'o', 'r', 'd']","['w', 'o', 'r', 't']"
s,a,"['w', 'o', 'r', 'k', 's']","['w', 'o', 'r', 'k', 'a']"
t,r,"['m', 'a', 't', 'e', 'r', 'i', 'a', 'l']","['m', 'a', 'r', 'e', 'r', 'i', 'a', 'l']"
b,e,"['b', 'i', 'l', 'l']","['e', 'i', 'l', 'l']"
p,e,"['a', 'p', 'r']","['a', 'e', 'r']"
r,g,"['w', 'r', 'i', 't', 't', 'e', 'n']","['w', 'g', 'i', 't', 't', 'e', 'n']"
t,f,"['t', 'a', 'l', 'k']","['f', 'a', 'l', 'k']"
f,w,"['f', 'e', 'd', 'e', 'r', 'a', 'l']","['w', 'e', 'd', 'e', 'r', 'a', 'l']"
g,m,"['h', 'o', 's', 't', 'i', 'n', 'g']","['h', 'o', 's', 't', 'i', 'n', 'm']"
l,u,"['r', 'u', 'l', 'e', 's']","['r', 'u', 'u', 'e', 's']"
l,n,"['f', 'i', 'n', 'a', 'l']","['f', 'i', 'n', 'a', 'n']"
a,v,"['a', 'd', 'u', 'l', 't']","['v', 'd', 'u', 'l', 't']"
e,f,"['t', 'i', 'c', 'k', 'e', 't', 's']","['t', 'i', 'c', 'k', 'f', 't', 's']"
h,v,"['t', 'h', 'i', 'n', 'g']","['t', 'v', 'i', 'n', 'g']"
r,h,"['c', 'e', 'n', 't', 'r', 'e']","['c', 'e', 'n', 't', 'h', 'e']"
n,z,"['r', 'e', 'q', 'u', 'i', 'r', 'e', 'm', 'e', 'n', 't', 's']","['r', 'e', 'q', 'u', 'i', 'r', 'e', 'm', 'e', 'z', 't', 's']"
a,v,"['v', 'i', 'a']","['v', 'i', 'v']"
h,y,"['c', 'h', 'e', 'a', 'p']","['c', 'y', 'e', 'a', 'p']"
e,m,"['n', 'u', 'd', 'e']","['n', 'u', 'd', 'm']"
i,y,"['k', 'i', 'd', 's']","['k', 'y', 'd', 's']"
n,j,"['f', 'i', 'n', 'a', 'n', 'c', 'e']","['f', 'i', 'j', 'a', 'j', 'c', 'e']"
u,n,"['t', 'r', 'u', 'e']","['t', 'r', 'n', 'e']"
s,t,"['m', 'i', 'n', 'u', 't', 'e', 's']","['m', 'i', 'n', 'u', 't', 'e', 't']"
