obj,tar,input,label
s,t,"['e', 'l', 's', 'e']","['e', 'l', 't', 'e']"
r,z,"['m', 'a', 'r', 'k']","['m', 'a', 'z', 'k']"
i,c,"['t', 'h', 'i', 'r', 'd']","['t', 'h', 'c', 'r', 'd']"
c,u,"['r', 'o', 'c', 'k']","['r', 'o', 'u', 'k']"
g,b,"['g', 'i', 'f', 't', 's']","['b', 'i', 'f', 't', 's']"
u,w,"['e', 'u', 'r', 'o', 'p', 'e']","['e', 'w', 'r', 'o', 'p', 'e']"
e,x,"['r', 'e', 'a', 'd', 'i', 'n', 'g']","['r', 'x', 'a', 'd', 'i', 'n', 'g']"
p,w,"['t', 'o', 'p', 'i', 'c', 's']","['t', 'o', 'w', 'i', 'c', 's']"
d,w,"['b', 'a', 'd']","['b', 'a', 'w']"
n,m,"['i', 'n', 'd', 'i', 'v', 'i', 'd', 'u', 'a', 'l']","['i', 'm', 'd', 'i', 'v', 'i', 'd', 'u', 'a', 'l']"
p,t,"['t', 'i', 'p', 's']","['t', 'i', 't', 's']"
u,g,"['p', 'l', 'u', 's']","['p', 'l', 'g', 's']"
a,d,"['a', 'u', 't', 'o']","['d', 'u', 't', 'o']"
o,w,"['c', 'o', 'v', 'e', 'r']","['c', 'w', 'v', 'e', 'r']"
a,x,"['u', 's', 'u', 'a', 'l', 'l', 'y']","['u', 's', 'u', 'x', 'l', 'l', 'y']"
t,n,"['e', 'd', 'i', 't']","['e', 'd', 'i', 'n']"
r,b,"['t', 'o', 'g', 'e', 't', 'h', 'e', 'r']","['t', 'o', 'g', 'e', 't', 'h', 'e', 'b']"
o,r,"['v', 'i', 'd', 'e', 'o', 's']","['v', 'i', 'd', 'e', 'r', 's']"
r,g,"['p', 'e', 'r', 'c', 'e', 'n', 't']","['p', 'e', 'g', 'c', 'e', 'n', 't']"
a,s,"['f', 'a', 's', 't']","['f', 's', 's', 't']"
i,s,"['f', 'u', 'n', 'c', 't', 'i', 'o', 'n']","['f', 'u', 'n', 'c', 't', 's', 'o', 'n']"
f,o,"['f', 'a', 'c', 't']","['o', 'a', 'c', 't']"
u,y,"['u', 'n', 'i', 't']","['y', 'n', 'i', 't']"
t,j,"['g', 'e', 't', 't', 'i', 'n', 'g']","['g', 'e', 'j', 'j', 'i', 'n', 'g']"
a,c,"['g', 'l', 'o', 'b', 'a', 'l']","['g', 'l', 'o', 'b', 'c', 'l']"
t,a,"['t', 'e', 'c', 'h']","['a', 'e', 'c', 'h']"
t,k,"['m', 'e', 'e', 't']","['m', 'e', 'e', 'k']"
f,o,"['f', 'a', 'r']","['o', 'a', 'r']"
e,b,"['e', 'c', 'o', 'n', 'o', 'm', 'i', 'c']","['b', 'c', 'o', 'n', 'o', 'm', 'i', 'c']"
e,b,"['p', 'l', 'a', 'y', 'e', 'r']","['p', 'l', 'a', 'y', 'b', 'r']"
r,d,"['p', 'r', 'o', 'j', 'e', 'c', 't', 's']","['p', 'd', 'o', 'j', 'e', 'c', 't', 's']"
y,i,"['l', 'y', 'r', 'i', 'c', 's']","['l', 'i', 'r', 'i', 'c', 's']"
o,f,"['o', 'f', 't', 'e', 'n']","['f', 'f', 't', 'e', 'n']"
i,k,"['s', 'u', 'b', 's', 'c', 'r', 'i', 'b', 'e']","['s', 'u', 'b', 's', 'c', 'r', 'k', 'b', 'e']"
u,h,"['s', 'u', 'b', 'm', 'i', 't']","['s', 'h', 'b', 'm', 'i', 't']"
r,n,"['g', 'e', 'r', 'm', 'a', 'n', 'y']","['g', 'e', 'n', 'm', 'a', 'n', 'y']"
a,i,"['a', 'm', 'o', 'u', 'n', 't']","['i', 'm', 'o', 'u', 'n', 't']"
a,m,"['w', 'a', 't', 'c', 'h']","['w', 'm', 't', 'c', 'h']"
i,h,"['i', 'n', 'c', 'l', 'u', 'd', 'e', 'd']","['h', 'n', 'c', 'l', 'u', 'd', 'e', 'd']"
e,s,"['f', 'e', 'e', 'l']","['f', 's', 's', 'l']"
o,b,"['t', 'h', 'o', 'u', 'g', 'h']","['t', 'h', 'b', 'u', 'g', 'h']"
n,h,"['b', 'a', 'n', 'k']","['b', 'a', 'h', 'k']"
s,a,"['r', 'i', 's', 'k']","['r', 'i', 'a', 'k']"
s,o,"['t', 'h', 'a', 'n', 'k', 's']","['t', 'h', 'a', 'n', 'k', 'o']"
g,i,"['e', 'v', 'e', 'r', 'y', 't', 'h', 'i', 'n', 'g']","['e', 'v', 'e', 'r', 'y', 't', 'h', 'i', 'n', 'i']"
e,d,"['d', 'e', 'a', 'l', 's']","['d', 'd', 'a', 'l', 's']"
u,k,"['v', 'a', 'r', 'i', 'o', 'u', 's']","['v', 'a', 'r', 'i', 'o', 'k', 's']"
r,a,"['w', 'o', 'r', 'd', 's']","['w', 'o', 'a', 'd', 's']"
x,u,"['l', 'i', 'n', 'u', 'x']","['l', 'i', 'n', 'u', 'u']"
l,n,"['j', 'u', 'l']","['j', 'u', 'n']"
u,e,"['p', 'r', 'o', 'd', 'u', 'c', 't', 'i', 'o', 'n']","['p', 'r', 'o', 'd', 'e', 'c', 't', 'i', 'o', 'n']"
o,j,"['c', 'o', 'm', 'm', 'e', 'r', 'c', 'i', 'a', 'l']","['c', 'j', 'm', 'm', 'e', 'r', 'c', 'i', 'a', 'l']"
m,h,"['j', 'a', 'm', 'e', 's']","['j', 'a', 'h', 'e', 's']"
t,a,"['w', 'e', 'i', 'g', 'h', 't']","['w', 'e', 'i', 'g', 'h', 'a']"
n,b,"['t', 'o', 'w', 'n']","['t', 'o', 'w', 'b']"
t,e,"['h', 'e', 'a', 'r', 't']","['h', 'e', 'a', 'r', 'e']"
s,g,"['a', 'd', 'v', 'e', 'r', 't', 'i', 's', 'i', 'n', 'g']","['a', 'd', 'v', 'e', 'r', 't', 'i', 'g', 'i', 'n', 'g']"
c,d,"['r', 'e', 'c', 'e', 'i', 'v', 'e', 'd']","['r', 'e', 'd', 'e', 'i', 'v', 'e', 'd']"
e,n,"['c', 'h', 'o', 'o', 's', 'e']","['c', 'h', 'o', 'o', 's', 'n']"
r,s,"['t', 'r', 'e', 'a', 't', 'm', 'e', 'n', 't']","['t', 's', 'e', 'a', 't', 'm', 'e', 'n', 't']"
r,u,"['n', 'e', 'w', 's', 'l', 'e', 't', 't', 'e', 'r']","['n', 'e', 'w', 's', 'l', 'e', 't', 't', 'e', 'u']"
h,q,"['a', 'r', 'c', 'h', 'i', 'v', 'e', 's']","['a', 'r', 'c', 'q', 'i', 'v', 'e', 's']"
n,j,"['p', 'o', 'i', 'n', 't', 's']","['p', 'o', 'i', 'j', 't', 's']"
e,w,"['k', 'n', 'o', 'w', 'l', 'e', 'd', 'g', 'e']","['k', 'n', 'o', 'w', 'l', 'w', 'd', 'g', 'w']"
e,s,"['m', 'a', 'g', 'a', 'z', 'i', 'n', 'e']","['m', 'a', 'g', 'a', 'z', 'i', 'n', 's']"
e,c,"['e', 'r', 'r', 'o', 'r']","['c', 'r', 'r', 'o', 'r']"
r,x,"['c', 'a', 'm', 'e', 'r', 'a']","['c', 'a', 'm', 'e', 'x', 'a']"
u,o,"['j', 'u', 'n']","['j', 'o', 'n']"
g,t,"['g', 'i', 'r', 'l']","['t', 'i', 'r', 'l']"
n,f,"['c', 'u', 'r', 'r', 'e', 'n', 't', 'l', 'y']","['c', 'u', 'r', 'r', 'e', 'f', 't', 'l', 'y']"
o,t,"['c', 'o', 'n', 's', 't', 'r', 'u', 'c', 't', 'i', 'o', 'n']","['c', 't', 'n', 's', 't', 'r', 'u', 'c', 't', 'i', 't', 'n']"
t,j,"['t', 'o', 'y', 's']","['j', 'o', 'y', 's']"
d,d,"['r', 'e', 'g', 'i', 's', 't', 'e', 'r', 'e', 'd']","['r', 'e', 'g', 'i', 's', 't', 'e', 'r', 'e', 'd']"
r,e,"['c', 'l', 'e', 'a', 'r']","['c', 'l', 'e', 'a', 'e']"
f,b,"['g', 'o', 'l', 'f']","['g', 'o', 'l', 'b']"
c,h,"['r', 'e', 'c', 'e', 'i', 'v', 'e']","['r', 'e', 'h', 'e', 'i', 'v', 'e']"
o,d,"['d', 'o', 'm', 'a', 'i', 'n']","['d', 'd', 'm', 'a', 'i', 'n']"
e,u,"['m', 'e', 't', 'h', 'o', 'd', 's']","['m', 'u', 't', 'h', 'o', 'd', 's']"
t,b,"['c', 'h', 'a', 'p', 't', 'e', 'r']","['c', 'h', 'a', 'p', 'b', 'e', 'r']"
a,x,"['m', 'a', 'k', 'e', 's']","['m', 'x', 'k', 'e', 's']"
r,y,"['p', 'r', 'o', 't', 'e', 'c', 't', 'i', 'o', 'n']","['p', 'y', 'o', 't', 'e', 'c', 't', 'i', 'o', 'n']"
s,v,"['p', 'o', 'l', 'i', 'c', 'i', 'e', 's']","['p', 'o', 'l', 'i', 'c', 'i', 'e', 'v']"
n,j,"['l', 'o', 'a', 'n']","['l', 'o', 'a', 'j']"
e,r,"['w', 'i', 'd', 'e']","['w', 'i', 'd', 'r']"
u,w,"['b', 'e', 'a', 'u', 't', 'y']","['b', 'e', 'a', 'w', 't', 'y']"
g,y,"['m', 'a', 'n', 'a', 'g', 'e', 'r']","['m', 'a', 'n', 'a', 'y', 'e', 'r']"
a,t,"['i', 'n', 'd', 'i', 'a']","['i', 'n', 'd', 'i', 't']"
n,h,"['p', 'o', 's', 'i', 't', 'i', 'o', 'n']","['p', 'o', 's', 'i', 't', 'i', 'o', 'h']"
k,z,"['t', 'a', 'k', 'e', 'n']","['t', 'a', 'z', 'e', 'n']"
r,n,"['s', 'o', 'r', 't']","['s', 'o', 'n', 't']"
t,q,"['l', 'i', 's', 't', 'i', 'n', 'g', 's']","['l', 'i', 's', 'q', 'i', 'n', 'g', 's']"
o,t,"['m', 'o', 'd', 'e', 'l', 's']","['m', 't', 'd', 'e', 'l', 's']"
i,t,"['m', 'i', 'c', 'h', 'a', 'e', 'l']","['m', 't', 'c', 'h', 'a', 'e', 'l']"
o,c,"['k', 'n', 'o', 'w', 'n']","['k', 'n', 'c', 'w', 'n']"
h,s,"['h', 'a', 'l', 'f']","['s', 'a', 'l', 'f']"
e,h,"['c', 'a', 's', 'e', 's']","['c', 'a', 's', 'h', 's']"
p,g,"['s', 't', 'e', 'p']","['s', 't', 'e', 'g']"
e,d,"['e', 'n', 'g', 'i', 'n', 'e', 'e', 'r', 'i', 'n', 'g']","['d', 'n', 'g', 'i', 'n', 'd', 'd', 'r', 'i', 'n', 'g']"
l,c,"['f', 'l', 'o', 'r', 'i', 'd', 'a']","['f', 'c', 'o', 'r', 'i', 'd', 'a']"
s,h,"['s', 'i', 'm', 'p', 'l', 'e']","['h', 'i', 'm', 'p', 'l', 'e']"
c,t,"['q', 'u', 'i', 'c', 'k']","['q', 'u', 'i', 't', 'k']"
o,q,"['n', 'o', 'n', 'e']","['n', 'q', 'n', 'e']"
s,s,"['w', 'i', 'r', 'e', 'l', 'e', 's', 's']","['w', 'i', 'r', 'e', 'l', 'e', 's', 's']"
c,q,"['l', 'i', 'c', 'e', 'n', 's', 'e']","['l', 'i', 'q', 'e', 'n', 's', 'e']"
u,d,"['p', 'a', 'u', 'l']","['p', 'a', 'd', 'l']"
y,a,"['f', 'r', 'i', 'd', 'a', 'y']","['f', 'r', 'i', 'd', 'a', 'a']"
e,h,"['l', 'a', 'k', 'e']","['l', 'a', 'k', 'h']"
w,d,"['w', 'h', 'o', 'l', 'e']","['d', 'h', 'o', 'l', 'e']"
l,c,"['a', 'n', 'n', 'u', 'a', 'l']","['a', 'n', 'n', 'u', 'a', 'c']"
e,k,"['p', 'u', 'b', 'l', 'i', 's', 'h', 'e', 'd']","['p', 'u', 'b', 'l', 'i', 's', 'h', 'k', 'd']"
t,b,"['l', 'a', 't', 'e', 'r']","['l', 'a', 'b', 'e', 'r']"
a,k,"['b', 'a', 's', 'i', 'c']","['b', 'k', 's', 'i', 'c']"
n,u,"['s', 'o', 'n', 'y']","['s', 'o', 'u', 'y']"
h,e,"['s', 'h', 'o', 'w', 's']","['s', 'e', 'o', 'w', 's']"
p,j,"['c', 'o', 'r', 'p', 'o', 'r', 'a', 't', 'e']","['c', 'o', 'r', 'j', 'o', 'r', 'a', 't', 'e']"
e,t,"['g', 'o', 'o', 'g', 'l', 'e']","['g', 'o', 'o', 'g', 'l', 't']"
h,e,"['c', 'h', 'u', 'r', 'c', 'h']","['c', 'e', 'u', 'r', 'c', 'e']"
d,d,"['m', 'e', 't', 'h', 'o', 'd']","['m', 'e', 't', 'h', 'o', 'd']"
u,l,"['p', 'u', 'r', 'c', 'h', 'a', 's', 'e']","['p', 'l', 'r', 'c', 'h', 'a', 's', 'e']"
s,s,"['c', 'u', 's', 't', 'o', 'm', 'e', 'r', 's']","['c', 'u', 's', 't', 'o', 'm', 'e', 'r', 's']"
a,l,"['a', 'c', 't', 'i', 'v', 'e']","['l', 'c', 't', 'i', 'v', 'e']"
p,l,"['r', 'e', 's', 'p', 'o', 'n', 's', 'e']","['r', 'e', 's', 'l', 'o', 'n', 's', 'e']"
a,y,"['p', 'r', 'a', 'c', 't', 'i', 'c', 'e']","['p', 'r', 'y', 'c', 't', 'i', 'c', 'e']"
h,x,"['h', 'a', 'r', 'd', 'w', 'a', 'r', 'e']","['x', 'a', 'r', 'd', 'w', 'a', 'r', 'e']"
i,o,"['f', 'i', 'g', 'u', 'r', 'e']","['f', 'o', 'g', 'u', 'r', 'e']"
r,w,"['m', 'a', 't', 'e', 'r', 'i', 'a', 'l', 's']","['m', 'a', 't', 'e', 'w', 'i', 'a', 'l', 's']"
r,k,"['f', 'i', 'r', 'e']","['f', 'i', 'k', 'e']"
o,r,"['h', 'o', 'l', 'i', 'd', 'a', 'y']","['h', 'r', 'l', 'i', 'd', 'a', 'y']"
t,b,"['c', 'h', 'a', 't']","['c', 'h', 'a', 'b']"
g,o,"['e', 'n', 'o', 'u', 'g', 'h']","['e', 'n', 'o', 'u', 'o', 'h']"
n,t,"['d', 'e', 's', 'i', 'g', 'n', 'e', 'd']","['d', 'e', 's', 'i', 'g', 't', 'e', 'd']"
g,a,"['a', 'l', 'o', 'n', 'g']","['a', 'l', 'o', 'n', 'a']"
g,d,"['a', 'm', 'o', 'n', 'g']","['a', 'm', 'o', 'n', 'd']"
t,u,"['d', 'e', 'a', 't', 'h']","['d', 'e', 'a', 'u', 'h']"
i,w,"['w', 'r', 'i', 't', 'i', 'n', 'g']","['w', 'r', 'w', 't', 'w', 'n', 'g']"
d,o,"['s', 'p', 'e', 'e', 'd']","['s', 'p', 'e', 'e', 'o']"
h,r,"['h', 't', 'm', 'l']","['r', 't', 'm', 'l']"
r,h,"['c', 'o', 'u', 'n', 't', 'r', 'i', 'e', 's']","['c', 'o', 'u', 'n', 't', 'h', 'i', 'e', 's']"
o,y,"['l', 'o', 's', 's']","['l', 'y', 's', 's']"
c,w,"['f', 'a', 'c', 'e']","['f', 'a', 'w', 'e']"
b,b,"['b', 'r', 'a', 'n', 'd']","['b', 'r', 'a', 'n', 'd']"
o,o,"['d', 'i', 's', 'c', 'o', 'u', 'n', 't']","['d', 'i', 's', 'c', 'o', 'u', 'n', 't']"
g,a,"['h', 'i', 'g', 'h', 'e', 'r']","['h', 'i', 'a', 'h', 'e', 'r']"
c,i,"['e', 'f', 'f', 'e', 'c', 't', 's']","['e', 'f', 'f', 'e', 'i', 't', 's']"
t,n,"['c', 'r', 'e', 'a', 't', 'e', 'd']","['c', 'r', 'e', 'a', 'n', 'e', 'd']"
m,y,"['r', 'e', 'm', 'e', 'm', 'b', 'e', 'r']","['r', 'e', 'y', 'e', 'y', 'b', 'e', 'r']"
d,q,"['s', 't', 'a', 'n', 'd', 'a', 'r', 'd', 's']","['s', 't', 'a', 'n', 'q', 'a', 'r', 'q', 's']"
o,y,"['o', 'i', 'l']","['y', 'i', 'l']"
t,g,"['b', 'i', 't']","['b', 'i', 'g']"
y,l,"['y', 'e', 'l', 'l', 'o', 'w']","['l', 'e', 'l', 'l', 'o', 'w']"
c,l,"['p', 'o', 'l', 'i', 't', 'i', 'c', 'a', 'l']","['p', 'o', 'l', 'i', 't', 'i', 'l', 'a', 'l']"
i,g,"['i', 'n', 'c', 'r', 'e', 'a', 's', 'e']","['g', 'n', 'c', 'r', 'e', 'a', 's', 'e']"
t,w,"['a', 'd', 'v', 'e', 'r', 't', 'i', 's', 'e']","['a', 'd', 'v', 'e', 'r', 'w', 'i', 's', 'e']"
n,m,"['k', 'i', 'n', 'g', 'd', 'o', 'm']","['k', 'i', 'm', 'g', 'd', 'o', 'm']"
s,a,"['b', 'a', 's', 'e']","['b', 'a', 'a', 'e']"
a,i,"['n', 'e', 'a', 'r']","['n', 'e', 'i', 'r']"
v,j,"['e', 'n', 'v', 'i', 'r', 'o', 'n', 'm', 'e', 'n', 't', 'a', 'l']","['e', 'n', 'j', 'i', 'r', 'o', 'n', 'm', 'e', 'n', 't', 'a', 'l']"
u,u,"['t', 'h', 'o', 'u', 'g', 'h', 't']","['t', 'h', 'o', 'u', 'g', 'h', 't']"
f,l,"['s', 't', 'u', 'f', 'f']","['s', 't', 'u', 'l', 'l']"
h,d,"['f', 'r', 'e', 'n', 'c', 'h']","['f', 'r', 'e', 'n', 'c', 'd']"
e,s,"['s', 't', 'o', 'r', 'a', 'g', 'e']","['s', 't', 'o', 'r', 'a', 'g', 's']"
p,h,"['j', 'a', 'p', 'a', 'n']","['j', 'a', 'h', 'a', 'n']"
g,e,"['d', 'o', 'i', 'n', 'g']","['d', 'o', 'i', 'n', 'e']"
a,i,"['l', 'o', 'a', 'n', 's']","['l', 'o', 'i', 'n', 's']"
e,o,"['s', 'h', 'o', 'e', 's']","['s', 'h', 'o', 'o', 's']"
y,t,"['e', 'n', 't', 'r', 'y']","['e', 'n', 't', 'r', 't']"
s,f,"['s', 't', 'a', 'y']","['f', 't', 'a', 'y']"
r,y,"['n', 'a', 't', 'u', 'r', 'e']","['n', 'a', 't', 'u', 'y', 'e']"
o,b,"['o', 'r', 'd', 'e', 'r', 's']","['b', 'r', 'd', 'e', 'r', 's']"
i,j,"['a', 'v', 'a', 'i', 'l', 'a', 'b', 'i', 'l', 'i', 't', 'y']","['a', 'v', 'a', 'j', 'l', 'a', 'b', 'j', 'l', 'j', 't', 'y']"
f,k,"['a', 'f', 'r', 'i', 'c', 'a']","['a', 'k', 'r', 'i', 'c', 'a']"
u,s,"['s', 'u', 'm', 'm', 'a', 'r', 'y']","['s', 's', 'm', 'm', 'a', 'r', 'y']"
t,y,"['t', 'u', 'r', 'n']","['y', 'u', 'r', 'n']"
m,w,"['m', 'e', 'a', 'n']","['w', 'e', 'a', 'n']"
o,u,"['g', 'r', 'o', 'w', 't', 'h']","['g', 'r', 'u', 'w', 't', 'h']"
s,q,"['n', 'o', 't', 'e', 's']","['n', 'o', 't', 'e', 'q']"
a,x,"['a', 'g', 'e', 'n', 'c', 'y']","['x', 'g', 'e', 'n', 'c', 'y']"
n,e,"['k', 'i', 'n', 'g']","['k', 'i', 'e', 'g']"
o,u,"['m', 'o', 'n', 'd', 'a', 'y']","['m', 'u', 'n', 'd', 'a', 'y']"
o,e,"['e', 'u', 'r', 'o', 'p', 'e', 'a', 'n']","['e', 'u', 'r', 'e', 'p', 'e', 'a', 'n']"
t,u,"['a', 'c', 't', 'i', 'v', 'i', 't', 'y']","['a', 'c', 'u', 'i', 'v', 'i', 'u', 'y']"
y,z,"['c', 'o', 'p', 'y']","['c', 'o', 'p', 'z']"
h,k,"['a', 'l', 't', 'h', 'o', 'u', 'g', 'h']","['a', 'l', 't', 'k', 'o', 'u', 'g', 'k']"
u,w,"['d', 'r', 'u', 'g']","['d', 'r', 'w', 'g']"
p,p,"['p', 'i', 'c', 's']","['p', 'i', 'c', 's']"
r,e,"['w', 'e', 's', 't', 'e', 'r', 'n']","['w', 'e', 's', 't', 'e', 'e', 'n']"
m,p,"['i', 'n', 'c', 'o', 'm', 'e']","['i', 'n', 'c', 'o', 'p', 'e']"
r,y,"['f', 'o', 'r', 'c', 'e']","['f', 'o', 'y', 'c', 'e']"
s,r,"['c', 'a', 's', 'h']","['c', 'a', 'r', 'h']"
y,m,"['e', 'm', 'p', 'l', 'o', 'y', 'm', 'e', 'n', 't']","['e', 'm', 'p', 'l', 'o', 'm', 'm', 'e', 'n', 't']"
v,f,"['o', 'v', 'e', 'r', 'a', 'l', 'l']","['o', 'f', 'e', 'r', 'a', 'l', 'l']"
a,x,"['b', 'a', 'y']","['b', 'x', 'y']"
r,o,"['r', 'i', 'v', 'e', 'r']","['o', 'i', 'v', 'e', 'o']"
s,j,"['c', 'o', 'm', 'm', 'i', 's', 's', 'i', 'o', 'n']","['c', 'o', 'm', 'm', 'i', 'j', 'j', 'i', 'o', 'n']"
g,k,"['p', 'a', 'c', 'k', 'a', 'g', 'e']","['p', 'a', 'c', 'k', 'a', 'k', 'e']"
c,y,"['c', 'o', 'n', 't', 'e', 'n', 't', 's']","['y', 'o', 'n', 't', 'e', 'n', 't', 's']"
s,c,"['s', 'e', 'e', 'n']","['c', 'e', 'e', 'n']"
y,n,"['p', 'l', 'a', 'y', 'e', 'r', 's']","['p', 'l', 'a', 'n', 'e', 'r', 's']"
g,b,"['e', 'n', 'g', 'i', 'n', 'e']","['e', 'n', 'b', 'i', 'n', 'e']"
p,u,"['p', 'o', 'r', 't']","['u', 'o', 'r', 't']"
m,i,"['a', 'l', 'b', 'u', 'm']","['a', 'l', 'b', 'u', 'i']"
a,o,"['r', 'e', 'g', 'i', 'o', 'n', 'a', 'l']","['r', 'e', 'g', 'i', 'o', 'n', 'o', 'l']"
t,o,"['s', 't', 'o', 'p']","['s', 'o', 'o', 'p']"
i,k,"['s', 'u', 'p', 'p', 'l', 'i', 'e', 's']","['s', 'u', 'p', 'p', 'l', 'k', 'e', 's']"
s,t,"['s', 't', 'a', 'r', 't', 'e', 'd']","['t', 't', 'a', 'r', 't', 'e', 'd']"
o,o,"['a', 'd', 'm', 'i', 'n', 'i', 's', 't', 'r', 'a', 't', 'i', 'o', 'n']","['a', 'd', 'm', 'i', 'n', 'i', 's', 't', 'r', 'a', 't', 'i', 'o', 'n']"
r,x,"['b', 'a', 'r']","['b', 'a', 'x']"
i,f,"['i', 'n', 's', 't', 'i', 't', 'u', 't', 'e']","['f', 'n', 's', 't', 'f', 't', 'u', 't', 'e']"
s,b,"['v', 'i', 'e', 'w', 's']","['v', 'i', 'e', 'w', 'b']"
p,r,"['p', 'l', 'a', 'n', 's']","['r', 'l', 'a', 'n', 's']"
u,h,"['d', 'o', 'u', 'b', 'l', 'e']","['d', 'o', 'h', 'b', 'l', 'e']"
o,u,"['d', 'o', 'g']","['d', 'u', 'g']"
i,k,"['b', 'u', 'i', 'l', 'd']","['b', 'u', 'k', 'l', 'd']"
e,e,"['s', 'c', 'r', 'e', 'e', 'n']","['s', 'c', 'r', 'e', 'e', 'n']"
c,s,"['e', 'x', 'c', 'h', 'a', 'n', 'g', 'e']","['e', 'x', 's', 'h', 'a', 'n', 'g', 'e']"
p,b,"['t', 'y', 'p', 'e', 's']","['t', 'y', 'b', 'e', 's']"
s,c,"['s', 'o', 'o', 'n']","['c', 'o', 'o', 'n']"
s,f,"['s', 'p', 'o', 'n', 's', 'o', 'r', 'e', 'd']","['f', 'p', 'o', 'n', 'f', 'o', 'r', 'e', 'd']"
i,p,"['l', 'i', 'n', 'e', 's']","['l', 'p', 'n', 'e', 's']"
c,c,"['e', 'l', 'e', 'c', 't', 'r', 'o', 'n', 'i', 'c']","['e', 'l', 'e', 'c', 't', 'r', 'o', 'n', 'i', 'c']"
o,c,"['c', 'o', 'n', 't', 'i', 'n', 'u', 'e']","['c', 'c', 'n', 't', 'i', 'n', 'u', 'e']"
s,a,"['a', 'c', 'r', 'o', 's', 's']","['a', 'c', 'r', 'o', 'a', 'a']"
n,y,"['b', 'e', 'n', 'e', 'f', 'i', 't', 's']","['b', 'e', 'y', 'e', 'f', 'i', 't', 's']"
e,q,"['n', 'e', 'e', 'd', 'e', 'd']","['n', 'q', 'q', 'd', 'q', 'd']"
n,o,"['s', 'e', 'a', 's', 'o', 'n']","['s', 'e', 'a', 's', 'o', 'o']"
a,t,"['a', 'p', 'p', 'l', 'y']","['t', 'p', 'p', 'l', 'y']"
s,b,"['s', 'o', 'm', 'e', 'o', 'n', 'e']","['b', 'o', 'm', 'e', 'o', 'n', 'e']"
l,j,"['h', 'e', 'l', 'd']","['h', 'e', 'j', 'd']"
h,m,"['a', 'n', 'y', 't', 'h', 'i', 'n', 'g']","['a', 'n', 'y', 't', 'm', 'i', 'n', 'g']"
i,f,"['p', 'r', 'i', 'n', 't', 'e', 'r']","['p', 'r', 'f', 'n', 't', 'e', 'r']"
i,k,"['c', 'o', 'n', 'd', 'i', 't', 'i', 'o', 'n']","['c', 'o', 'n', 'd', 'k', 't', 'k', 'o', 'n']"
t,n,"['e', 'f', 'f', 'e', 'c', 't', 'i', 'v', 'e']","['e', 'f', 'f', 'e', 'c', 'n', 'i', 'v', 'e']"
b,t,"['b', 'e', 'l', 'i', 'e', 'v', 'e']","['t', 'e', 'l', 'i', 'e', 'v', 'e']"
